release_month,prerelease_count,signing_key_count,post_install_count,extension_count
2000-03-01 00:00:00+00,0,0,1,0
2003-08-01 00:00:00+00,0,0,1,0
2004-01-01 00:00:00+00,0,0,5,0
2004-08-01 00:00:00+00,1,0,4,4
2004-09-01 00:00:00+00,0,0,22,7
2004-10-01 00:00:00+00,0,0,63,9
2004-11-01 00:00:00+00,0,0,65,5
2004-12-01 00:00:00+00,0,0,51,5
2005-01-01 00:00:00+00,0,0,96,7
2005-02-01 00:00:00+00,0,0,116,6
2005-03-01 00:00:00+00,0,0,119,5
2005-04-01 00:00:00+00,0,0,124,4
2005-05-01 00:00:00+00,0,0,69,11
2005-06-01 00:00:00+00,0,0,103,8
2005-07-01 00:00:00+00,0,0,91,1
2005-08-01 00:00:00+00,0,0,123,6
2005-09-01 00:00:00+00,0,0,127,5
2005-10-01 00:00:00+00,0,0,155,14
2005-11-01 00:00:00+00,0,0,146,13
2005-12-01 00:00:00+00,0,0,115,10
2006-01-01 00:00:00+00,0,0,122,6
2006-02-01 00:00:00+00,0,0,166,18
2006-03-01 00:00:00+00,0,0,165,18
2006-04-01 00:00:00+00,0,0,247,30
2006-05-01 00:00:00+00,0,0,190,20
2006-06-01 00:00:00+00,0,0,183,17
2006-07-01 00:00:00+00,0,0,211,25
2006-08-01 00:00:00+00,0,0,248,25
2006-09-01 00:00:00+00,0,0,222,35
2006-10-01 00:00:00+00,0,0,263,26
2006-11-01 00:00:00+00,0,0,334,31
2006-12-01 00:00:00+00,0,0,290,25
2007-01-01 00:00:00+00,0,0,363,32
2007-02-01 00:00:00+00,0,0,344,33
2007-03-01 00:00:00+00,0,0,413,53
2007-04-01 00:00:00+00,0,0,384,34
2007-05-01 00:00:00+00,0,0,444,43
2007-06-01 00:00:00+00,0,0,395,26
2007-07-01 00:00:00+00,0,0,440,36
2007-08-01 00:00:00+00,0,0,514,36
2007-09-01 00:00:00+00,0,0,471,28
2007-10-01 00:00:00+00,0,0,452,26
2007-11-01 00:00:00+00,0,0,539,69
2007-12-01 00:00:00+00,0,0,549,43
2008-01-01 00:00:00+00,0,0,673,68
2008-02-01 00:00:00+00,0,0,678,48
2008-03-01 00:00:00+00,0,0,706,29
2008-04-01 00:00:00+00,0,0,705,83
2008-05-01 00:00:00+00,0,0,635,59
2008-06-01 00:00:00+00,0,0,624,48
2008-07-01 00:00:00+00,0,0,612,45
2008-08-01 00:00:00+00,0,0,871,84
2008-09-01 00:00:00+00,0,0,863,61
2008-10-01 00:00:00+00,0,0,929,57
2008-11-01 00:00:00+00,0,0,839,74
2008-12-01 00:00:00+00,1,0,943,52
2009-01-01 00:00:00+00,0,0,914,46
2009-02-01 00:00:00+00,0,0,806,57
2009-03-01 00:00:00+00,12,0,1036,111
2009-04-01 00:00:00+00,0,0,920,61
2009-05-01 00:00:00+00,0,0,985,68
2009-06-01 00:00:00+00,1,0,1139,62
2009-07-01 00:00:00+00,0,0,1043,88
2009-08-01 00:00:00+00,0,0,1227,95
2009-09-01 00:00:00+00,5,0,1438,77
2009-10-01 00:00:00+00,14,0,3826,134
2009-11-01 00:00:00+00,29,0,4046,140
2009-12-01 00:00:00+00,41,0,3603,181
2010-01-01 00:00:00+00,73,0,4254,158
2010-02-01 00:00:00+00,149,0,4190,147
2010-03-01 00:00:00+00,151,0,4539,150
2010-04-01 00:00:00+00,149,0,4256,167
2010-05-01 00:00:00+00,201,0,3998,151
2010-06-01 00:00:00+00,236,0,4132,167
2010-07-01 00:00:00+00,215,0,4493,147
2010-08-01 00:00:00+00,210,0,4919,152
2010-09-01 00:00:00+00,237,0,4833,171
2010-10-01 00:00:00+00,282,0,5359,309
2010-11-01 00:00:00+00,77,0,1932,58
