gem_name,dependency_type,count
activesupport,runtime,159
activerecord,runtime,158
rspec,runtime,124
actionpack,runtime,121
rspec,development,113
merb-core,runtime,107
rails,runtime,95
haml,runtime,89
actionmailer,runtime,81
cucumber,development,75
json,runtime,68
activeresource,runtime,68
rest-client,runtime,62
dm-core,runtime,62
mongo,runtime,61
facets,runtime,58
rspec-core,development,57
merb-slices,runtime,57
thor,runtime,57
sequel,runtime,56
padrino-core,runtime,55
rspec-expectations,development,55
cucumber,runtime,55
padrino-helpers,runtime,54
padrino-mailer,runtime,53
merb-auth-core,runtime,52
merb-auth-more,runtime,52
net-ssh,runtime,52
capistrano,runtime,52
nokogiri,runtime,51
rack,runtime,49
padrino-gen,runtime,46
sinatra,runtime,45
mongoid,runtime,45
rake,runtime,45
merb-assets,runtime,45
chef,runtime,44
hoe,runtime,43
merb-mailer,runtime,43
bundler,runtime,42
redis,runtime,42
dm-migrations,runtime,41
merb-haml,runtime,41
dm-types,runtime,41
dm-validations,runtime,40
merb-gen,runtime,40
merb-helpers,runtime,40
hpricot,runtime,39
dm-aggregates,runtime,39
merb-action-args,runtime,38
httparty,runtime,38
highline,runtime,38
padrino-admin,runtime,38
mechanize,runtime,37
json_pure,runtime,37
merb-cache,runtime,37
rspec-core,runtime,37
dm-timestamps,runtime,36
rmagick,runtime,36
activerecord,development,36
rspec-mocks,development,36
bundler,development,36
libxml-ruby,runtime,35
remarkable,runtime,34
rspec-mocks,runtime,34
mongo_mapper,runtime,34
merb-param-protection,runtime,34
rspec-expectations,runtime,34
RedCloth,runtime,34
resque,runtime,34
dm-serializer,runtime,33
data_objects,runtime,33
logging,runtime,33
brnumeros,runtime,32
warden,runtime,32
gtk2applib,runtime,32
merb_datamapper,runtime,32
haml,development,32
brdata,runtime,32
devise,runtime,31
yard,development,31
hoe,development,31
brhelper,runtime,31
brdinheiro,runtime,31
sunspot,runtime,31
brstring,runtime,31
brcep,runtime,31
thin,runtime,30
merb-exceptions,runtime,30
netzke-core,runtime,30
extlib,runtime,30
windows-pr,runtime,30
rubyforge,runtime,30
rubigen,runtime,29
shoulda,development,29
merb-auth,runtime,29
will_paginate,runtime,29
mongrel,runtime,28
sqlite3-ruby,runtime,28
webmock,development,28
addressable,runtime,28
daemons,runtime,28
merb-more,runtime,28
actionwebservice,runtime,28
yajl-ruby,runtime,27
activemodel,runtime,27
merb-auth-slice-password,runtime,27
activesupport,development,27
bones,development,27
rdf,runtime,27
trollop,runtime,26
oauth,runtime,26
tilt,runtime,26
eventmachine,runtime,26
earth,runtime,26
curb,runtime,26
rspec-rails,development,26
sniff,development,26
brcpfcnpj,runtime,26
remarkable_activerecord,runtime,25
rails,development,25
json,development,25
fakeweb,development,25
compass,runtime,25
ParseTree,runtime,24
active_support,runtime,24
mocha,development,24
hobosupport,runtime,24
rack-test,development,24
hashie,runtime,24
do_sqlite3,runtime,23
rdiscount,runtime,23
minitest,development,23
jeweler,development,23
og,runtime,23
ffi,runtime,23
glue,runtime,23
r18n-core,runtime,23
hobofields,runtime,22
remote_table,runtime,22
ruby2ruby,runtime,22
rye,runtime,22
sprout,runtime,22
bson,runtime,22
uuidtools,runtime,22
unicorn,runtime,22
activerecord-jdbc-adapter,runtime,21
log4r,runtime,21
treetop,runtime,21
ruby-openid,runtime,21
chef-server-webui,runtime,21
chef-solr,runtime,21
actionpack,development,21
chef-server-api,runtime,21
amazon-ec2,runtime,21
masterview,runtime,20
erubis,runtime,20
masterview_generator,runtime,20
builder,runtime,20
masterview_plugin_generator,runtime,20
test-unit,development,20
i18n,runtime,20
mocha,runtime,20
RubyInline,runtime,20
fastercsv,runtime,20
em-http-request,runtime,20
nokogiri,development,20
rr,development,20
rake,development,20
main,runtime,19
uuid,runtime,19
rjb,runtime,19
riot,development,19
ZenTest,runtime,19
crack,runtime,19
mack-data_mapper,runtime,19
rcov,development,19
rdoc,runtime,19
bson_ext,runtime,19
rack-test,runtime,18
ruport,runtime,18
prawn,runtime,18
coderay,runtime,18
mail,runtime,18
merb,runtime,18
excon,runtime,18
mack-facets,runtime,18
grit,runtime,18
appengine-tools,runtime,18
mongo_ext,runtime,17
rdf-spec,development,17
mack-pdf_writer,runtime,17
mack-markaby,runtime,17
mack-haml,runtime,17
open4,runtime,17
mack-more,runtime,17
mack-active_record,runtime,17
rcov,runtime,17
redis-namespace,runtime,17
capybara,runtime,17
tzinfo,runtime,17
sqlite3-ruby,development,17
twitter,runtime,17
mack-localization,runtime,17
twitter2vk_reposter,runtime,17
newgem,development,17
railties,runtime,16
gherkin,runtime,16
launchy,runtime,16
paperclip,runtime,16
echoe,development,16
mack-caching,runtime,16
appengine-sdk,runtime,16
dm-adjust,runtime,16
rspec-rails,runtime,16
net-sftp,runtime,15
mack-notifier,runtime,15
rubyzip,runtime,15
mack-javascript,runtime,15
rack,development,15
benelux,runtime,15
brI18n,runtime,15
ramaze,runtime,15
thoughtbot-shoulda,development,15
mongoid,development,15
oa-core,runtime,15
oa-oauth,runtime,15
padrino-routing,runtime,15
storable,runtime,15
mack-data_factory,runtime,15
activemerchant,runtime,14
cmdparse,runtime,14
couchrest,runtime,14
prawn-core,runtime,14
ruote,runtime,14
templater,runtime,14
yard,runtime,14
arrayfields,runtime,14
emitter,runtime,14
httpclient,runtime,14
webrat,runtime,13
oauth2,runtime,13
mongo_mapper,development,13
hpricot,development,13
ruby-debug-base,runtime,13
gettext,runtime,13
webrat,development,13
arel,runtime,13
le1t0-capistrano,runtime,13
memcache-client,runtime,13
mime-types,runtime,13
RedCloth,development,13
boxgrinder-core,runtime,13
mack-orm,runtime,13
envjs,runtime,13
tap,runtime,13
formtastic,runtime,13
ruby-debug,runtime,13
typhoeus,runtime,13
rufus-jig,runtime,13
configatron,runtime,13
win32-api,runtime,13
roxml,runtime,13
brtraducao,runtime,13
gemcutter,development,13
appengine-rack,runtime,13
aruba,development,12
right_aws,runtime,12
mack-encryption,runtime,12
mustache,runtime,12
factory_girl,development,12
polyglot,runtime,12
toadhopper,runtime,12
rubytter,runtime,12
riot,runtime,12
drydock,runtime,12
loquacious,runtime,12
sexp_processor,runtime,12
mack-distributed,runtime,12
jnunemaker-validatable,runtime,12
dm-constraints,runtime,12
dm-observer,runtime,12
