release_month,count
2000-03-01 00:00:00+00,1
2003-08-01 00:00:00+00,1
2004-12-01 00:00:00+00,11
2005-01-01 00:00:00+00,10
2005-02-01 00:00:00+00,14
2005-03-01 00:00:00+00,10
2005-04-01 00:00:00+00,19
2005-05-01 00:00:00+00,6
2005-06-01 00:00:00+00,11
2005-07-01 00:00:00+00,16
2005-08-01 00:00:00+00,26
2005-09-01 00:00:00+00,14
2005-10-01 00:00:00+00,24
2005-11-01 00:00:00+00,21
2005-12-01 00:00:00+00,18
2006-01-01 00:00:00+00,24
2006-02-01 00:00:00+00,17
2006-03-01 00:00:00+00,15
2006-04-01 00:00:00+00,31
2006-05-01 00:00:00+00,20
2006-06-01 00:00:00+00,20
2006-07-01 00:00:00+00,38
2006-08-01 00:00:00+00,36
2006-09-01 00:00:00+00,36
2006-10-01 00:00:00+00,56
2006-11-01 00:00:00+00,56
2006-12-01 00:00:00+00,48
2007-01-01 00:00:00+00,36
2007-02-01 00:00:00+00,44
2007-03-01 00:00:00+00,57
2007-04-01 00:00:00+00,45
2007-05-01 00:00:00+00,54
2007-06-01 00:00:00+00,51
2007-07-01 00:00:00+00,51
2007-08-01 00:00:00+00,66
2007-09-01 00:00:00+00,49
2007-10-01 00:00:00+00,58
2007-11-01 00:00:00+00,54
2007-12-01 00:00:00+00,71
2008-01-01 00:00:00+00,79
2008-02-01 00:00:00+00,86
2008-03-01 00:00:00+00,80
2008-04-01 00:00:00+00,73
2008-05-01 00:00:00+00,67
2008-06-01 00:00:00+00,76
2008-07-01 00:00:00+00,64
2008-08-01 00:00:00+00,91
2008-09-01 00:00:00+00,66
2008-10-01 00:00:00+00,70
2008-11-01 00:00:00+00,74
2008-12-01 00:00:00+00,94
2009-01-01 00:00:00+00,97
2009-02-01 00:00:00+00,86
2009-03-01 00:00:00+00,101
2009-04-01 00:00:00+00,93
2009-05-01 00:00:00+00,112
2009-06-01 00:00:00+00,111
2009-07-01 00:00:00+00,113
2009-08-01 00:00:00+00,136
2009-09-01 00:00:00+00,216
2009-10-01 00:00:00+00,571
2009-11-01 00:00:00+00,406
2009-12-01 00:00:00+00,335
2010-01-01 00:00:00+00,386
2010-02-01 00:00:00+00,344
2010-03-01 00:00:00+00,354
2010-04-01 00:00:00+00,347
2010-05-01 00:00:00+00,283
2010-06-01 00:00:00+00,304
2010-07-01 00:00:00+00,401
2010-08-01 00:00:00+00,446
2010-09-01 00:00:00+00,320
2010-10-01 00:00:00+00,393
2010-11-01 00:00:00+00,121
