release_date,platform_split,count
2000-03-16,ruby,1
2003-08-28,ruby,1
2004-01-01,ruby,1
2004-01-02,ruby,1
2004-01-06,ruby,1
2004-01-08,ruby,1
2004-01-11,ruby,1
2004-08-18,ruby,4
2004-09-15,ruby,2
2004-09-17,ruby,3
2004-09-19,ruby,1
2004-09-19,x86mswin32,1
2004-09-20,ruby,3
2004-09-23,ruby,1
2004-09-24,ruby,1
2004-09-25,ruby,1
2004-09-26,ruby,1
2004-09-27,ruby,3
2004-09-29,ruby,1
2004-09-29,x86mswin32,1
2004-09-30,ruby,3
2004-10-01,ruby,4
2004-10-02,ruby,2
2004-10-04,ruby,1
2004-10-06,ruby,1
2004-10-07,ruby,3
2004-10-08,ruby,2
2004-10-10,ruby,1
2004-10-11,ruby,1
2004-10-13,ruby,1
2004-10-14,ruby,1
2004-10-16,ruby,2
2004-10-18,ruby,1
2004-10-19,ruby,1
2004-10-20,ruby,3
2004-10-21,ruby,4
2004-10-22,ruby,3
2004-10-23,ruby,3
2004-10-24,ruby,2
2004-10-25,ruby,10
2004-10-26,ruby,1
2004-10-27,ruby,6
2004-10-27,x86mswin32,1
2004-10-28,ruby,2
2004-10-29,ruby,3
2004-10-30,ruby,3
2004-10-31,ruby,1
2004-11-01,ruby,5
2004-11-02,ruby,2
2004-11-03,ruby,2
2004-11-04,ruby,5
2004-11-04,x86mswin32,1
2004-11-05,ruby,3
2004-11-08,ruby,1
2004-11-09,ruby,1
2004-11-10,ruby,1
2004-11-11,ruby,3
2004-11-12,ruby,2
2004-11-15,ruby,5
2004-11-15,x86mswin32,1
2004-11-17,ruby,2
2004-11-18,ruby,10
2004-11-19,ruby,3
2004-11-20,ruby,2
2004-11-22,ruby,1
2004-11-23,ruby,6
2004-11-24,ruby,1
2004-11-25,ruby,3
2004-11-27,ruby,1
2004-11-28,ruby,2
2004-11-29,ruby,2
2004-12-01,ruby,4
2004-12-02,ruby,2
2004-12-03,ruby,1
2004-12-04,ruby,1
2004-12-07,ruby,3
2004-12-09,ruby,2
2004-12-10,ruby,3
2004-12-11,ruby,1
2004-12-12,ruby,2
2004-12-13,ruby,1
2004-12-16,ruby,4
2004-12-17,ruby,2
2004-12-19,ruby,1
2004-12-20,ruby,7
2004-12-21,ruby,3
2004-12-22,ruby,3
2004-12-23,ruby,3
2004-12-26,ruby,1
2004-12-27,ruby,2
2004-12-28,ruby,1
2004-12-29,ruby,2
2004-12-30,ruby,2
2005-01-01,ruby,4
2005-01-02,ruby,2
2005-01-03,ruby,1
2005-01-04,ruby,6
2005-01-05,ruby,1
2005-01-05,x86mswin32,1
2005-01-06,ruby,2
2005-01-07,ruby,2
2005-01-08,ruby,1
2005-01-09,ruby,2
2005-01-10,ruby,1
2005-01-11,ruby,5
2005-01-12,ruby,4
2005-01-13,ruby,5
2005-01-14,ruby,3
2005-01-15,ruby,1
2005-01-16,ruby,3
2005-01-17,ruby,7
2005-01-18,ruby,9
2005-01-18,x86mswin32,1
2005-01-19,ruby,4
2005-01-20,ruby,3
2005-01-21,ruby,2
2005-01-22,ruby,2
2005-01-23,ruby,2
2005-01-24,ruby,2
2005-01-25,ruby,5
2005-01-26,ruby,3
2005-01-27,ruby,6
2005-01-28,ruby,1
2005-01-30,ruby,2
2005-01-30,x86mswin32,1
2005-01-31,ruby,2
2005-02-01,ruby,4
2005-02-02,ruby,2
2005-02-03,ruby,1
2005-02-04,ruby,5
2005-02-05,ruby,1
2005-02-05,x86mswin32,1
2005-02-06,ruby,4
2005-02-06,x86mswin32,1
2005-02-07,ruby,2
2005-02-08,ruby,12
2005-02-09,ruby,5
2005-02-10,ruby,2
2005-02-11,ruby,3
2005-02-12,ruby,5
2005-02-13,ruby,7
2005-02-14,ruby,2
2005-02-15,ruby,7
2005-02-15,x86mswin32,1
2005-02-16,ruby,8
2005-02-17,ruby,6
2005-02-18,ruby,1
2005-02-19,ruby,1
2005-02-20,ruby,6
2005-02-21,ruby,3
2005-02-22,ruby,1
2005-02-23,ruby,4
2005-02-24,ruby,7
2005-02-26,ruby,4
2005-02-27,ruby,5
2005-02-28,ruby,5
2005-03-01,ruby,5
2005-03-02,ruby,1
2005-03-03,ruby,1
2005-03-04,ruby,2
2005-03-05,ruby,1
2005-03-06,ruby,5
2005-03-07,ruby,13
2005-03-08,ruby,1
2005-03-09,ruby,8
2005-03-10,ruby,6
2005-03-11,ruby,2
2005-03-12,ruby,3
2005-03-13,ruby,1
2005-03-14,ruby,3
2005-03-15,powerpcdarwin,1
2005-03-15,ruby,1
2005-03-15,x86mswin32,1
2005-03-16,ruby,2
2005-03-17,ruby,8
2005-03-18,ruby,1
2005-03-19,ruby,3
2005-03-20,powerpcdarwin,1
2005-03-20,ruby,1
2005-03-20,x86mswin32,1
2005-03-21,ruby,5
2005-03-22,ruby,7
2005-03-23,ruby,4
2005-03-25,ruby,7
2005-03-26,ruby,6
2005-03-27,ruby,8
2005-03-28,ruby,4
2005-03-29,ruby,1
2005-03-30,powerpcdarwin,1
2005-03-30,ruby,3
2005-03-30,x86mswin32,1
2005-04-01,ruby,2
2005-04-02,ruby,3
2005-04-03,ruby,2
2005-04-04,ruby,6
2005-04-05,ruby,5
2005-04-06,ruby,1
2005-04-07,ruby,2
2005-04-08,ruby,3
2005-04-09,ruby,7
2005-04-10,ruby,5
2005-04-11,ruby,6
2005-04-12,powerpcdarwin,1
2005-04-12,ruby,2
2005-04-12,x86linux,1
2005-04-12,x86mswin32,1
2005-04-13,ruby,5
2005-04-14,ruby,1
2005-04-15,ruby,5
2005-04-16,ruby,7
2005-04-17,ruby,5
2005-04-18,ruby,6
2005-04-19,ruby,20
2005-04-20,ruby,8
2005-04-21,ruby,3
2005-04-22,ruby,1
2005-04-24,ruby,4
2005-04-25,ruby,1
2005-04-26,ruby,2
2005-04-27,ruby,2
2005-04-28,ruby,1
2005-04-29,ruby,3
2005-04-30,ruby,3
2005-05-01,ruby,6
2005-05-02,ruby,3
2005-05-03,ruby,1
2005-05-04,ruby,3
2005-05-05,ruby,3
2005-05-06,ruby,2
2005-05-07,ruby,1
2005-05-08,ruby,3
2005-05-09,ruby,2
2005-05-10,ruby,2
2005-05-11,ruby,5
2005-05-12,ruby,2
2005-05-13,ruby,1
2005-05-15,ruby,5
2005-05-16,ruby,4
2005-05-18,powerpcdarwin,1
2005-05-18,x86mswin32,1
2005-05-19,ruby,4
2005-05-20,ruby,2
2005-05-21,ruby,3
2005-05-22,ruby,3
2005-05-23,ruby,1
2005-05-23,x86linux,1
2005-05-24,ruby,3
2005-05-25,ruby,1
2005-05-26,ruby,1
2005-05-28,ruby,2
2005-05-29,ruby,1
2005-05-30,ruby,1
2005-05-31,ruby,1
2005-06-01,ruby,8
2005-06-02,ruby,3
2005-06-03,ruby,5
2005-06-04,ruby,5
2005-06-05,ruby,3
2005-06-06,ruby,1
2005-06-07,ruby,3
2005-06-07,x86linux,1
2005-06-07,x86mswin32,1
2005-06-08,powerpcdarwin,1
2005-06-08,ruby,5
2005-06-09,ruby,2
2005-06-10,ruby,2
2005-06-11,ruby,1
2005-06-11,x86mswin32,1
2005-06-12,ruby,7
2005-06-13,powerpcdarwin,1
2005-06-13,ruby,2
2005-06-13,x86linux,1
2005-06-14,ruby,4
2005-06-15,ruby,2
2005-06-16,ruby,5
2005-06-17,ruby,10
2005-06-17,x86mswin32,1
2005-06-18,ruby,3
2005-06-19,ruby,1
2005-06-20,ruby,4
2005-06-21,ruby,1
2005-06-22,ruby,1
2005-06-23,ruby,2
2005-06-24,ruby,4
2005-06-25,ruby,2
2005-06-26,ruby,2
2005-06-27,ruby,2
2005-06-28,ruby,1
2005-06-29,ruby,5
2005-07-01,ruby,4
2005-07-03,ruby,2
2005-07-04,ruby,2
2005-07-05,ruby,1
2005-07-06,ruby,6
2005-07-07,ruby,4
2005-07-10,ruby,2
2005-07-11,ruby,6
2005-07-12,ruby,4
2005-07-13,ruby,7
2005-07-14,ruby,3
2005-07-15,ruby,1
2005-07-17,ruby,6
2005-07-18,ruby,7
2005-07-20,ruby,2
2005-07-21,ruby,2
2005-07-22,ruby,2
2005-07-23,ruby,2
2005-07-24,ruby,4
2005-07-25,ruby,6
2005-07-26,ruby,3
2005-07-27,ruby,3
2005-07-28,ruby,3
2005-07-29,ruby,3
2005-07-30,ruby,4
2005-07-31,ruby,2
2005-08-01,ruby,7
2005-08-02,ruby,2
2005-08-03,ruby,2
2005-08-04,ruby,4
2005-08-05,ruby,3
2005-08-06,ruby,5
2005-08-07,ruby,2
2005-08-08,ruby,2
2005-08-09,ruby,5
2005-08-10,ruby,3
2005-08-11,ruby,6
2005-08-12,ruby,5
2005-08-13,ruby,6
2005-08-14,ruby,10
2005-08-15,ruby,2
2005-08-16,ruby,6
2005-08-17,ruby,5
2005-08-18,ruby,1
2005-08-19,ruby,3
2005-08-20,ruby,4
2005-08-21,ruby,2
2005-08-22,ruby,5
2005-08-23,ruby,2
2005-08-24,ruby,3
