release_month,platform_split,count
2000-03-01 00:00:00+00,ruby,1
2003-08-01 00:00:00+00,ruby,1
2004-01-01 00:00:00+00,ruby,5
2004-08-01 00:00:00+00,ruby,4
2004-09-01 00:00:00+00,ruby,20
2004-09-01 00:00:00+00,x86mswin32,2
2004-10-01 00:00:00+00,ruby,62
2004-10-01 00:00:00+00,x86mswin32,1
2004-11-01 00:00:00+00,ruby,63
2004-11-01 00:00:00+00,x86mswin32,2
2004-12-01 00:00:00+00,ruby,51
2005-01-01 00:00:00+00,ruby,93
2005-01-01 00:00:00+00,x86mswin32,3
2005-02-01 00:00:00+00,ruby,113
2005-02-01 00:00:00+00,x86mswin32,3
2005-03-01 00:00:00+00,powerpcdarwin,3
2005-03-01 00:00:00+00,ruby,113
2005-03-01 00:00:00+00,x86mswin32,3
2005-04-01 00:00:00+00,powerpcdarwin,1
2005-04-01 00:00:00+00,ruby,121
2005-04-01 00:00:00+00,x86linux,1
2005-04-01 00:00:00+00,x86mswin32,1
2005-05-01 00:00:00+00,powerpcdarwin,1
2005-05-01 00:00:00+00,ruby,66
2005-05-01 00:00:00+00,x86linux,1
2005-05-01 00:00:00+00,x86mswin32,1
2005-06-01 00:00:00+00,powerpcdarwin,2
2005-06-01 00:00:00+00,ruby,96
2005-06-01 00:00:00+00,x86linux,2
2005-06-01 00:00:00+00,x86mswin32,3
2005-07-01 00:00:00+00,ruby,91
2005-08-01 00:00:00+00,ruby,123
2005-09-01 00:00:00+00,ruby,125
2005-09-01 00:00:00+00,x86mswin32,2
2005-10-01 00:00:00+00,ruby,152
2005-10-01 00:00:00+00,x86mswin32,3
2005-11-01 00:00:00+00,ruby,136
2005-11-01 00:00:00+00,x86linux,4
2005-11-01 00:00:00+00,x86mswin32,6
2005-12-01 00:00:00+00,ruby,109
2005-12-01 00:00:00+00,x86linux,1
2005-12-01 00:00:00+00,x86mswin32,5
2006-01-01 00:00:00+00,powerpcdarwin,1
2006-01-01 00:00:00+00,ruby,118
2006-01-01 00:00:00+00,x86linux,2
2006-01-01 00:00:00+00,x86mswin32,1
2006-02-01 00:00:00+00,ruby,164
2006-02-01 00:00:00+00,x86mswin32,2
2006-03-01 00:00:00+00,ruby,163
2006-03-01 00:00:00+00,x86mswin32,2
2006-04-01 00:00:00+00,ruby,240
2006-04-01 00:00:00+00,x86mswin32,7
2006-05-01 00:00:00+00,ruby,181
2006-05-01 00:00:00+00,x86mswin32,9
2006-06-01 00:00:00+00,ruby,173
2006-06-01 00:00:00+00,x86mswin32,10
2006-07-01 00:00:00+00,ruby,202
2006-07-01 00:00:00+00,unknown,1
2006-07-01 00:00:00+00,x86mswin32,8
2006-08-01 00:00:00+00,ruby,241
2006-08-01 00:00:00+00,x86linux,1
2006-08-01 00:00:00+00,x86mswin32,6
2006-09-01 00:00:00+00,ruby,216
2006-09-01 00:00:00+00,unknown,1
2006-09-01 00:00:00+00,x86mswin32,5
2006-10-01 00:00:00+00,ruby,258
2006-10-01 00:00:00+00,x86linux,1
2006-10-01 00:00:00+00,x86mswin32,4
2006-11-01 00:00:00+00,ruby,316
2006-11-01 00:00:00+00,x86linux,4
2006-11-01 00:00:00+00,x86mswin32,14
2006-12-01 00:00:00+00,ruby,276
2006-12-01 00:00:00+00,x86linux,3
2006-12-01 00:00:00+00,x86mswin32,11
2007-01-01 00:00:00+00,ruby,350
2007-01-01 00:00:00+00,sparcsolaris,1
2007-01-01 00:00:00+00,x86linux,2
2007-01-01 00:00:00+00,x86mswin32,10
2007-02-01 00:00:00+00,ruby,333
2007-02-01 00:00:00+00,x86mswin32,11
2007-03-01 00:00:00+00,java,1
2007-03-01 00:00:00+00,ruby,403
2007-03-01 00:00:00+00,x86linux,2
2007-03-01 00:00:00+00,x86mswin32,7
2007-04-01 00:00:00+00,java,2
2007-04-01 00:00:00+00,ruby,374
2007-04-01 00:00:00+00,x86linux,2
2007-04-01 00:00:00+00,x86mswin32,6
2007-05-01 00:00:00+00,java,1
2007-05-01 00:00:00+00,ruby,438
2007-05-01 00:00:00+00,x86mswin32,5
2007-06-01 00:00:00+00,java,5
2007-06-01 00:00:00+00,ruby,382
2007-06-01 00:00:00+00,x86mswin32,8
2007-07-01 00:00:00+00,java,7
2007-07-01 00:00:00+00,powerpcdarwin,2
2007-07-01 00:00:00+00,ruby,414
2007-07-01 00:00:00+00,x86darwin,1
2007-07-01 00:00:00+00,x86linux,5
2007-07-01 00:00:00+00,x86mswin32,11
2007-08-01 00:00:00+00,java,1
2007-08-01 00:00:00+00,ruby,503
2007-08-01 00:00:00+00,universaldarwin,4
2007-08-01 00:00:00+00,x86linux,2
2007-08-01 00:00:00+00,x86mswin32,4
2007-09-01 00:00:00+00,java,1
2007-09-01 00:00:00+00,powerpcdarwin,1
2007-09-01 00:00:00+00,ruby,444
2007-09-01 00:00:00+00,universaldarwin,3
2007-09-01 00:00:00+00,x86_64linux,2
2007-09-01 00:00:00+00,x86darwin,2
2007-09-01 00:00:00+00,x86linux,1
2007-09-01 00:00:00+00,x86mswin32,17
2007-10-01 00:00:00+00,powerpcdarwin,1
2007-10-01 00:00:00+00,ruby,439
2007-10-01 00:00:00+00,universaldarwin,1
2007-10-01 00:00:00+00,x86_64linux,1
2007-10-01 00:00:00+00,x86darwin,1
2007-10-01 00:00:00+00,x86linux,3
2007-10-01 00:00:00+00,x86mswin32,6
2007-11-01 00:00:00+00,java,1
2007-11-01 00:00:00+00,ruby,505
2007-11-01 00:00:00+00,universaldarwin,4
2007-11-01 00:00:00+00,x86linux,3
2007-11-01 00:00:00+00,x86mswin32,26
2007-12-01 00:00:00+00,java,2
2007-12-01 00:00:00+00,ruby,534
2007-12-01 00:00:00+00,universaldarwin,2
2007-12-01 00:00:00+00,x86linux,1
2007-12-01 00:00:00+00,x86mswin32,10
2008-01-01 00:00:00+00,java,1
2008-01-01 00:00:00+00,ruby,648
2008-01-01 00:00:00+00,universaldarwin,1
2008-01-01 00:00:00+00,x86linux,4
2008-01-01 00:00:00+00,x86mingw32,1
2008-01-01 00:00:00+00,x86mswin32,18
2008-02-01 00:00:00+00,darwin,8
2008-02-01 00:00:00+00,java,2
2008-02-01 00:00:00+00,ruby,649
2008-02-01 00:00:00+00,universaljava,1
2008-02-01 00:00:00+00,x86_64linux,1
2008-02-01 00:00:00+00,x86linux,8
2008-02-01 00:00:00+00,x86mswin32,9
2008-03-01 00:00:00+00,darwin,2
2008-03-01 00:00:00+00,java,1
2008-03-01 00:00:00+00,ruby,686
2008-03-01 00:00:00+00,universaldarwin,2
2008-03-01 00:00:00+00,universaljava,1
2008-03-01 00:00:00+00,x86_64linux,1
2008-03-01 00:00:00+00,x86linux,3
2008-03-01 00:00:00+00,x86mswin32,10
2008-04-01 00:00:00+00,darwin,1
2008-04-01 00:00:00+00,java,2
2008-04-01 00:00:00+00,ruby,668
2008-04-01 00:00:00+00,universaldarwin,7
2008-04-01 00:00:00+00,universaljava,2
2008-04-01 00:00:00+00,x86linux,2
2008-04-01 00:00:00+00,x86mswin32,23
2008-05-01 00:00:00+00,darwin,2
2008-05-01 00:00:00+00,java,4
2008-05-01 00:00:00+00,ruby,598
2008-05-01 00:00:00+00,universaldarwin,5
2008-05-01 00:00:00+00,universaljava,1
2008-05-01 00:00:00+00,x86_64linux,2
2008-05-01 00:00:00+00,x86cygwin,2
2008-05-01 00:00:00+00,x86darwin,2
2008-05-01 00:00:00+00,x86linux,6
2008-05-01 00:00:00+00,x86mingw32,1
2008-05-01 00:00:00+00,x86mswin32,12
2008-06-01 00:00:00+00,darwin,2
2008-06-01 00:00:00+00,java,4
2008-06-01 00:00:00+00,linux,2
2008-06-01 00:00:00+00,ruby,603
2008-06-01 00:00:00+00,universaldarwin,1
2008-06-01 00:00:00+00,universaljava,2
2008-06-01 00:00:00+00,x86linux,3
2008-06-01 00:00:00+00,x86mswin32,7
2008-07-01 00:00:00+00,darwin,3
2008-07-01 00:00:00+00,java,3
2008-07-01 00:00:00+00,powerpcdarwin,2
2008-07-01 00:00:00+00,ruby,576
2008-07-01 00:00:00+00,universaldarwin,1
2008-07-01 00:00:00+00,x86linux,4
2008-07-01 00:00:00+00,x86mswin32,23
2008-08-01 00:00:00+00,java,1
2008-08-01 00:00:00+00,ruby,828
2008-08-01 00:00:00+00,universaldarwin,7
