release_date,count
2000-03-16,1
2003-08-28,1
2004-01-01,1
2004-01-02,1
2004-01-06,1
2004-01-08,1
2004-01-11,1
2004-08-18,4
2004-09-15,2
2004-09-17,3
2004-09-19,2
2004-09-20,3
2004-09-23,1
2004-09-24,1
2004-09-25,1
2004-09-26,1
2004-09-27,3
2004-09-29,2
2004-09-30,3
2004-10-01,4
2004-10-02,2
2004-10-04,1
2004-10-06,1
2004-10-07,3
2004-10-08,2
2004-10-10,1
2004-10-11,1
2004-10-13,1
2004-10-14,1
2004-10-16,2
2004-10-18,1
2004-10-19,1
2004-10-20,3
2004-10-21,4
2004-10-22,3
2004-10-23,3
2004-10-24,2
2004-10-25,10
2004-10-26,1
2004-10-27,7
2004-10-28,2
2004-10-29,3
2004-10-30,3
2004-10-31,1
2004-11-01,5
2004-11-02,2
2004-11-03,2
2004-11-04,6
2004-11-05,3
2004-11-08,1
2004-11-09,1
2004-11-10,1
2004-11-11,3
2004-11-12,2
2004-11-15,6
2004-11-17,2
2004-11-18,10
2004-11-19,3
2004-11-20,2
2004-11-22,1
2004-11-23,6
2004-11-24,1
2004-11-25,3
2004-11-27,1
2004-11-28,2
2004-11-29,2
2004-12-01,4
2004-12-02,2
2004-12-03,1
2004-12-04,1
2004-12-07,3
2004-12-09,2
2004-12-10,3
2004-12-11,1
2004-12-12,2
2004-12-13,1
2004-12-16,4
2004-12-17,2
2004-12-19,1
2004-12-20,7
2004-12-21,3
2004-12-22,3
2004-12-23,3
2004-12-26,1
2004-12-27,2
2004-12-28,1
2004-12-29,2
2004-12-30,2
2005-01-01,4
2005-01-02,2
2005-01-03,1
2005-01-04,6
2005-01-05,2
2005-01-06,2
2005-01-07,2
2005-01-08,1
2005-01-09,2
2005-01-10,1
2005-01-11,5
2005-01-12,4
2005-01-13,5
2005-01-14,3
2005-01-15,1
2005-01-16,3
2005-01-17,7
2005-01-18,10
2005-01-19,4
2005-01-20,3
2005-01-21,2
2005-01-22,2
2005-01-23,2
2005-01-24,2
2005-01-25,5
2005-01-26,3
2005-01-27,6
2005-01-28,1
2005-01-30,3
2005-01-31,2
2005-02-01,4
2005-02-02,2
2005-02-03,1
2005-02-04,5
2005-02-05,2
2005-02-06,5
2005-02-07,2
2005-02-08,12
2005-02-09,5
2005-02-10,2
2005-02-11,3
2005-02-12,5
2005-02-13,7
2005-02-14,2
2005-02-15,8
2005-02-16,8
2005-02-17,6
2005-02-18,1
2005-02-19,1
2005-02-20,6
2005-02-21,3
2005-02-22,1
2005-02-23,4
2005-02-24,7
2005-02-26,4
2005-02-27,5
2005-02-28,5
2005-03-01,5
2005-03-02,1
2005-03-03,1
2005-03-04,2
2005-03-05,1
2005-03-06,5
2005-03-07,13
2005-03-08,1
2005-03-09,8
2005-03-10,6
2005-03-11,2
2005-03-12,3
2005-03-13,1
2005-03-14,3
2005-03-15,3
2005-03-16,2
2005-03-17,8
2005-03-18,1
2005-03-19,3
2005-03-20,3
2005-03-21,5
2005-03-22,7
2005-03-23,4
2005-03-25,7
2005-03-26,6
2005-03-27,8
2005-03-28,4
2005-03-29,1
2005-03-30,5
2005-04-01,2
2005-04-02,3
2005-04-03,2
2005-04-04,6
2005-04-05,5
2005-04-06,1
2005-04-07,2
2005-04-08,3
2005-04-09,7
2005-04-10,5
2005-04-11,6
2005-04-12,5
2005-04-13,5
2005-04-14,1
2005-04-15,5
2005-04-16,7
2005-04-17,5
2005-04-18,6
2005-04-19,20
2005-04-20,8
2005-04-21,3
2005-04-22,1
2005-04-24,4
2005-04-25,1
2005-04-26,2
2005-04-27,2
2005-04-28,1
2005-04-29,3
2005-04-30,3
2005-05-01,6
2005-05-02,3
2005-05-03,1
2005-05-04,3
2005-05-05,3
2005-05-06,2
2005-05-07,1
2005-05-08,3
2005-05-09,2
2005-05-10,2
2005-05-11,5
2005-05-12,2
2005-05-13,1
2005-05-15,5
2005-05-16,4
2005-05-18,2
2005-05-19,4
2005-05-20,2
2005-05-21,3
2005-05-22,3
2005-05-23,2
2005-05-24,3
2005-05-25,1
2005-05-26,1
2005-05-28,2
2005-05-29,1
2005-05-30,1
2005-05-31,1
2005-06-01,8
2005-06-02,3
2005-06-03,5
2005-06-04,5
2005-06-05,3
2005-06-06,1
2005-06-07,5
2005-06-08,6
2005-06-09,2
2005-06-10,2
2005-06-11,2
2005-06-12,7
2005-06-13,4
2005-06-14,4
2005-06-15,2
2005-06-16,5
2005-06-17,11
2005-06-18,3
2005-06-19,1
2005-06-20,4
2005-06-21,1
2005-06-22,1
2005-06-23,2
2005-06-24,4
2005-06-25,2
2005-06-26,2
2005-06-27,2
2005-06-28,1
2005-06-29,5
2005-07-01,4
2005-07-03,2
2005-07-04,2
2005-07-05,1
2005-07-06,6
2005-07-07,4
2005-07-10,2
2005-07-11,6
2005-07-12,4
2005-07-13,7
2005-07-14,3
2005-07-15,1
2005-07-17,6
2005-07-18,7
2005-07-20,2
2005-07-21,2
2005-07-22,2
2005-07-23,2
2005-07-24,4
2005-07-25,6
2005-07-26,3
2005-07-27,3
2005-07-28,3
2005-07-29,3
2005-07-30,4
2005-07-31,2
2005-08-01,7
2005-08-02,2
2005-08-03,2
2005-08-04,4
2005-08-05,3
2005-08-06,5
2005-08-07,2
2005-08-08,2
2005-08-09,5
2005-08-10,3
2005-08-11,6
2005-08-12,5
2005-08-13,6
2005-08-14,10
2005-08-15,2
2005-08-16,6
2005-08-17,5
2005-08-18,1
2005-08-19,3
2005-08-20,4
2005-08-21,2
2005-08-22,5
2005-08-23,2
2005-08-24,3
2005-08-25,4
2005-08-26,1
2005-08-27,1
2005-08-28,2
2005-08-29,4
2005-08-30,15
2005-08-31,1
2005-09-01,8
2005-09-02,8
2005-09-03,7
2005-09-05,6
2005-09-06,8
2005-09-07,3
2005-09-08,3
2005-09-09,6
2005-09-10,3
2005-09-11,7
2005-09-12,2
2005-09-13,5
2005-09-14,2
2005-09-15,8
2005-09-16,4
2005-09-17,3
2005-09-18,8
2005-09-19,2
2005-09-20,1
2005-09-21,3
2005-09-22,2
2005-09-23,3
2005-09-24,4
2005-09-25,5
2005-09-26,4
2005-09-27,4
2005-09-28,3
2005-09-29,4
2005-09-30,1
2005-10-01,3
2005-10-02,6
2005-10-03,1
2005-10-04,3
2005-10-05,4
2005-10-06,5
2005-10-07,3
2005-10-08,2
2005-10-09,6
2005-10-10,2
2005-10-11,4
2005-10-12,4
2005-10-13,6
2005-10-14,1
2005-10-15,1
2005-10-16,1
2005-10-17,13
2005-10-18,9
2005-10-19,10
2005-10-20,2
2005-10-21,5
2005-10-22,4
2005-10-23,6
2005-10-24,8
2005-10-25,13
2005-10-26,5
2005-10-27,4
2005-10-28,10
2005-10-29,3
2005-10-30,6
2005-10-31,5
2005-11-01,5
2005-11-02,5
2005-11-03,4
2005-11-04,4
2005-11-05,1
2005-11-06,9
2005-11-07,1
2005-11-08,5
2005-11-09,8
2005-11-10,2
2005-11-11,11
2005-11-12,1
2005-11-13,10
2005-11-14,8
2005-11-15,6
2005-11-16,9
2005-11-17,8
2005-11-18,5
2005-11-19,2
2005-11-20,3
2005-11-21,5
2005-11-22,3
2005-11-23,3
2005-11-24,2
2005-11-25,5
2005-11-26,5
2005-11-27,6
2005-11-28,6
2005-11-29,2
2005-11-30,2
2005-12-01,3
2005-12-02,6
2005-12-03,3
2005-12-04,1
2005-12-05,2
2005-12-06,5
2005-12-07,11
2005-12-08,2
2005-12-09,5
2005-12-10,2
2005-12-11,1
2005-12-12,8
2005-12-13,7
2005-12-14,3
2005-12-15,2
2005-12-16,1
2005-12-17,6
2005-12-18,4
2005-12-19,5
2005-12-20,6
2005-12-21,9
2005-12-22,2
2005-12-23,4
2005-12-24,2
2005-12-25,1
2005-12-28,4
2005-12-29,4
2005-12-30,1
2005-12-31,5
2006-01-02,6
2006-01-03,3
2006-01-04,5
2006-01-05,3
2006-01-06,1
2006-01-07,2
2006-01-08,7
2006-01-09,3
2006-01-10,5
2006-01-11,3
2006-01-12,2
2006-01-13,1
2006-01-14,2
2006-01-15,6
2006-01-16,3
2006-01-17,6
2006-01-18,4
2006-01-19,6
2006-01-20,7
2006-01-21,4
2006-01-22,6
2006-01-23,9
2006-01-24,5
2006-01-25,4
2006-01-26,4
2006-01-27,3
2006-01-28,4
2006-01-29,1
2006-01-30,3
2006-01-31,4
2006-02-01,8
2006-02-02,6
2006-02-03,6
2006-02-04,2
2006-02-05,11
2006-02-06,4
2006-02-08,5
2006-02-09,5
2006-02-10,3
2006-02-11,1
2006-02-12,8
2006-02-13,9
2006-02-14,3
2006-02-15,6
2006-02-16,2
2006-02-17,2
2006-02-18,6
2006-02-19,4
2006-02-20,10
2006-02-21,6
2006-02-22,6
2006-02-23,8
2006-02-24,7
2006-02-25,12
2006-02-26,8
2006-02-27,12
2006-02-28,6
2006-03-01,3
2006-03-02,7
2006-03-03,8
2006-03-04,4
2006-03-05,7
2006-03-06,12
2006-03-07,7
2006-03-08,3
2006-03-09,4
2006-03-10,5
2006-03-11,1
2006-03-12,9
2006-03-13,5
2006-03-14,4
2006-03-15,11
2006-03-16,4
2006-03-17,4
2006-03-18,6
2006-03-19,5
2006-03-20,2
2006-03-21,6
2006-03-22,7
2006-03-23,5
2006-03-24,6
2006-03-25,1
2006-03-26,2
2006-03-27,9
2006-03-28,5
2006-03-29,6
2006-03-30,4
2006-03-31,3
2006-04-01,4
2006-04-02,3
2006-04-03,5
2006-04-04,4
2006-04-05,8
2006-04-06,11
2006-04-07,6
2006-04-08,7
2006-04-09,13
2006-04-10,7
2006-04-11,7
2006-04-12,9
2006-04-13,9
2006-04-14,6
2006-04-15,7
2006-04-16,10
2006-04-17,7
2006-04-18,28
2006-04-19,9
2006-04-20,7
2006-04-21,6
2006-04-22,7
2006-04-23,12
2006-04-24,12
2006-04-25,5
2006-04-26,4
2006-04-27,9
2006-04-28,20
2006-04-29,1
2006-04-30,4
2006-05-01,7
2006-05-02,5
2006-05-03,7
2006-05-04,16
2006-05-05,4
2006-05-06,5
2006-05-07,3
2006-05-08,4
2006-05-10,6
2006-05-11,9
2006-05-12,5
2006-05-13,4
2006-05-14,2
2006-05-15,5
2006-05-16,11
2006-05-17,12
2006-05-18,5
2006-05-19,5
2006-05-20,3
2006-05-21,6
2006-05-22,3
2006-05-23,8
2006-05-24,2
2006-05-25,2
2006-05-26,3
2006-05-27,3
2006-05-28,10
2006-05-29,24
2006-05-30,5
2006-05-31,6
2006-06-01,2
2006-06-02,5
2006-06-03,6
2006-06-04,12
2006-06-05,6
2006-06-06,10
2006-06-07,4
2006-06-08,6
2006-06-09,8
2006-06-10,6
2006-06-11,4
2006-06-12,7
2006-06-13,2
2006-06-14,5
2006-06-15,5
2006-06-16,12
2006-06-17,4
2006-06-18,1
2006-06-19,4
2006-06-20,5
2006-06-21,13
2006-06-22,5
2006-06-25,2
2006-06-26,6
2006-06-27,16
2006-06-28,11
2006-06-29,5
2006-06-30,11
2006-07-01,5
