release_month,count
2000-03-01 00:00:00+00,1
2003-08-01 00:00:00+00,1
2004-01-01 00:00:00+00,5
2004-08-01 00:00:00+00,4
2004-09-01 00:00:00+00,22
2004-10-01 00:00:00+00,63
2004-11-01 00:00:00+00,65
2004-12-01 00:00:00+00,51
2005-01-01 00:00:00+00,96
2005-02-01 00:00:00+00,116
2005-03-01 00:00:00+00,119
2005-04-01 00:00:00+00,124
2005-05-01 00:00:00+00,69
2005-06-01 00:00:00+00,103
2005-07-01 00:00:00+00,91
2005-08-01 00:00:00+00,123
2005-09-01 00:00:00+00,127
2005-10-01 00:00:00+00,155
2005-11-01 00:00:00+00,146
2005-12-01 00:00:00+00,115
2006-01-01 00:00:00+00,122
2006-02-01 00:00:00+00,166
2006-03-01 00:00:00+00,165
2006-04-01 00:00:00+00,247
2006-05-01 00:00:00+00,190
2006-06-01 00:00:00+00,183
2006-07-01 00:00:00+00,211
2006-08-01 00:00:00+00,248
2006-09-01 00:00:00+00,222
2006-10-01 00:00:00+00,263
2006-11-01 00:00:00+00,334
2006-12-01 00:00:00+00,290
2007-01-01 00:00:00+00,363
2007-02-01 00:00:00+00,344
2007-03-01 00:00:00+00,413
2007-04-01 00:00:00+00,384
2007-05-01 00:00:00+00,444
2007-06-01 00:00:00+00,395
2007-07-01 00:00:00+00,440
2007-08-01 00:00:00+00,514
2007-09-01 00:00:00+00,471
2007-10-01 00:00:00+00,452
2007-11-01 00:00:00+00,539
2007-12-01 00:00:00+00,549
2008-01-01 00:00:00+00,673
2008-02-01 00:00:00+00,678
2008-03-01 00:00:00+00,706
2008-04-01 00:00:00+00,705
2008-05-01 00:00:00+00,635
2008-06-01 00:00:00+00,624
2008-07-01 00:00:00+00,612
2008-08-01 00:00:00+00,871
2008-09-01 00:00:00+00,863
2008-10-01 00:00:00+00,929
2008-11-01 00:00:00+00,839
2008-12-01 00:00:00+00,943
2009-01-01 00:00:00+00,914
2009-02-01 00:00:00+00,806
2009-03-01 00:00:00+00,1036
2009-04-01 00:00:00+00,920
2009-05-01 00:00:00+00,985
2009-06-01 00:00:00+00,1139
2009-07-01 00:00:00+00,1043
2009-08-01 00:00:00+00,1227
2009-09-01 00:00:00+00,1438
2009-10-01 00:00:00+00,3826
2009-11-01 00:00:00+00,4046
2009-12-01 00:00:00+00,3603
2010-01-01 00:00:00+00,4254
2010-02-01 00:00:00+00,4190
2010-03-01 00:00:00+00,4539
2010-04-01 00:00:00+00,4256
2010-05-01 00:00:00+00,3998
2010-06-01 00:00:00+00,4132
2010-07-01 00:00:00+00,4493
2010-08-01 00:00:00+00,4919
2010-09-01 00:00:00+00,4833
2010-10-01 00:00:00+00,5359
2010-11-01 00:00:00+00,1932
